timestamp,idk,idk2,rated_real_power,idk3,max_watts_hour,idk4,idk5,real_available_Wh,idk6,consumed_watts,op_state,time,avergae_watts
Mon Sep 20 12:17:12 2021,0,5224,4500,6,3630,0,7,2775,0,4449.03,1,2021-10-07 12:17:00,4449.03
Mon Sep 20 12:18:12 2021,0,5299,4500,6,3630,0,7,2775,0,4665.81,1,2021-10-07 12:18:00,4557.42
Mon Sep 20 12:19:13 2021,0,5374,4500,6,3630,0,7,2625,0,4686.45,1,2021-10-07 12:19:00,4600.43
Mon Sep 20 12:20:14 2021,0,5462,5300,6,3630,0,7,2550,0,4717.42,1,2021-10-07 12:20:00,4629.68
Mon Sep 20 12:21:14 2021,0,5550,5300,6,3630,0,7,2250,0,4738.06,1,2021-10-07 12:21:00,4651.35
Mon Sep 20 12:22:15 2021,0,5638,5300,6,3630,0,7,2175,0,4748.39,1,2021-10-07 12:22:00,4667.53
Mon Sep 20 12:23:15 2021,0,5726,5300,6,3630,0,7,2025,0,4707.1,1,2021-10-07 12:23:00,4673.18
Mon Sep 20 12:24:16 2021,0,5814,5300,6,3630,0,7,2025,0,4769.03,1,2021-10-07 12:24:00,4685.16
Mon Sep 20 12:25:17 2021,0,5902,5300,6,3630,0,7,1875,0,4769.03,1,2021-10-07 12:25:00,4694.48
Mon Sep 20 12:26:17 2021,0,5990,5300,6,3630,0,7,1800,0,4758.71,1,2021-10-07 12:26:00,4700.9
Mon Sep 20 12:27:18 2021,0,6078,5300,6,3630,0,7,1725,0,4769.03,1,2021-10-07 12:27:00,4707.1
Mon Sep 20 12:28:18 2021,0,6166,5300,6,3630,0,7,1725,0,4769.03,1,2021-10-07 12:28:00,4712.26
Mon Sep 20 12:29:19 2021,0,6254,5300,6,3630,0,7,1650,0,4779.35,1,2021-10-07 12:29:00,4717.42
Mon Sep 20 12:30:19 2021,0,6342,5300,6,3630,0,7,1575,0,4676.13,1,2021-10-07 12:30:00,4714.47
Mon Sep 20 12:31:20 2021,0,6430,5300,6,3630,0,7,1575,0,4707.1,1,2021-10-07 12:31:00,4713.98
Mon Sep 20 12:32:21 2021,0,6518,5300,6,3630,0,7,1425,0,4645.16,1,2021-10-07 12:32:00,4709.68
Mon Sep 20 12:33:21 2021,0,6606,5300,6,3630,0,7,1425,0,4696.77,1,2021-10-07 12:33:00,4708.92
Mon Sep 20 12:34:22 2021,0,6694,5300,6,3630,0,7,1275,0,4696.77,1,2021-10-07 12:34:00,4708.24
Mon Sep 20 12:35:22 2021,0,6782,5300,6,3630,0,7,1200,0,4686.45,1,2021-10-07 12:35:00,4707.1
