timestamp,idk,cumsum,rated_real_power,idk3,max_watts_hour,idk4,idk5,real_available_Wh,idk6,consumed_watts,idk7
Fri Aug 13 00:00:14 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:01:14 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:02:15 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:03:16 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:04:16 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:05:17 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:06:17 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:07:18 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:08:18 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:09:19 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:10:20 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:11:20 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:12:21 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:13:21 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:14:22 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:15:22 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:16:23 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:17:24 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:18:24 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:19:25 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:20:25 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:21:26 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:22:27 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:23:27 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:24:28 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:25:28 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:26:29 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:27:30 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:28:30 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:29:31 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:30:31 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:31:32 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:32:32 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:33:33 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:34:33 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:35:34 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:36:35 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:37:35 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:38:36 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:39:36 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:40:37 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:41:38 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:42:38 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:43:39 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:44:39 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:45:40 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:46:41 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:47:41 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:48:42 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:49:42 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:50:43 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:51:43 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:52:44 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:53:45 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:54:45 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:55:46 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:56:46 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:57:47 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:58:48 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 00:59:48 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 01:00:49 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 01:01:49 2021,0,1443,0,6,3630,0,7,150,0,0,0
