# file...... output.csv
# date...... Thu Dec 26 03:15:27 2019
# user...... Midrar
# host...... (null)
# target.... triplex_meter 20
# trigger... (none)
# interval.. 300
# limit..... 12
# timestamp,measured_real_power,measured_power,measured_voltage_1,measured_voltage_2,measured_voltage_N,measured_current_1,measured_current_2,measured_current_N
2019-12-01 00:00:00 PST,+549.066,+577.455+18.0407d,+120.079-0.0084105d,+120.078-0.00907294d,+0+0d,+1.46893-0.711704j,-3.10341+0.778311j,+1.63448-0.0666071j
2019-12-01 00:05:00 PST,+549.066,+577.455+18.0407d,+120.079-0.0084105d,+120.078-0.00907294d,+0+0d,+1.46893-0.711704j,-3.10341+0.778311j,+1.63448-0.0666071j
2019-12-01 00:10:00 PST,+549.066,+577.455+18.0407d,+120.079-0.0084105d,+120.078-0.00907294d,+0+0d,+1.46893-0.711704j,-3.10341+0.778311j,+1.63448-0.0666071j
2019-12-01 00:15:00 PST,+5052.19,+5055.35+2.02692d,+120.044-0.0855419d,+120.043-0.0862043d,+0+0d,+20.2251-0.742j,-21.859+0.810577j,+1.63387-0.0685766j
2019-12-01 00:20:00 PST,+5052.19,+5055.35+2.02692d,+120.044-0.0855419d,+120.043-0.0862043d,+0+0d,+20.2251-0.742j,-21.859+0.810577j,+1.63387-0.0685766j
2019-12-01 00:25:00 PST,+5052.19,+5055.35+2.02692d,+120.044-0.0855419d,+120.043-0.0862043d,+0+0d,+20.2251-0.742j,-21.859+0.810577j,+1.63387-0.0685766j
2019-12-01 00:30:00 PST,+549.066,+577.455+18.0407d,+120.079-0.0084105d,+120.078-0.00907294d,+0+0d,+1.46893-0.711704j,-3.10341+0.778311j,+1.63448-0.0666071j
2019-12-01 00:35:00 PST,+549.066,+577.455+18.0407d,+120.079-0.0084105d,+120.078-0.00907294d,+0+0d,+1.46893-0.711704j,-3.10341+0.778311j,+1.63448-0.0666071j
2019-12-01 00:40:00 PST,+5052.19,+5055.35+2.02692d,+120.044-0.0855419d,+120.043-0.0862043d,+0+0d,+20.2251-0.742j,-21.859+0.810577j,+1.63387-0.0685766j
2019-12-01 00:45:00 PST,+5052.19,+5055.35+2.02692d,+120.044-0.0855419d,+120.043-0.0862043d,+0+0d,+20.2251-0.742j,-21.859+0.810577j,+1.63387-0.0685766j
2019-12-01 00:50:00 PST,+549.066,+577.455+18.0407d,+120.079-0.0084105d,+120.078-0.00907294d,+0+0d,+1.46893-0.711704j,-3.10341+0.778311j,+1.63448-0.0666071j
2019-12-01 00:55:00 PST,+549.066,+577.455+18.0407d,+120.079-0.0084105d,+120.078-0.00907294d,+0+0d,+1.46893-0.711704j,-3.10341+0.778311j,+1.63448-0.0666071j
2019-12-01 01:00:00 PST,+470.633,+494.966+18.0406d,+120.08-0.00720898d,+120.079-0.00777679d,+0+0d,+1.25908-0.609998j,-2.66009+0.667064j,+1.401-0.0570664j
# end of tape
