# file...... output2.csv
# date...... Thu Dec 26 03:15:27 2019
# user...... Midrar
# host...... (null)
# target.... triplex_meter 13
# trigger... (none)
# interval.. 300
# limit..... 12
# timestamp,measured_real_power,measured_power,measured_voltage_1,measured_voltage_2,measured_voltage_N,measured_current_1,measured_current_2,measured_current_N
2019-12-01 00:00:00 PST,+549.082,+577.472+18.0406d,+120.083-0.00509965d,+120.083-0.00576171d,+0+0d,+1.46892-0.711591j,-3.10347+0.778134j,+1.63455-0.0665433j
2019-12-01 00:05:00 PST,+549.082,+577.472+18.0406d,+120.083-0.00509825d,+120.083-0.00576068d,+0+0d,+1.46892-0.711591j,-3.10347+0.778134j,+1.63455-0.0665433j
2019-12-01 00:10:00 PST,+549.082,+577.472+18.0406d,+120.083-0.00509825d,+120.083-0.00576068d,+0+0d,+1.46892-0.711591j,-3.10347+0.778134j,+1.63455-0.0665433j
2019-12-01 00:15:00 PST,+5053.96,+5057.12+2.02643d,+120.066-0.0522928d,+120.065-0.0529553d,+0+0d,+20.2288-0.730133j,-21.8631+0.79791j,+1.63424-0.0677771j
2019-12-01 00:20:00 PST,+5053.96,+5057.12+2.02643d,+120.066-0.0522928d,+120.065-0.0529553d,+0+0d,+20.2288-0.730133j,-21.8631+0.79791j,+1.63424-0.0677771j
2019-12-01 00:25:00 PST,+5053.96,+5057.12+2.02643d,+120.066-0.0522928d,+120.065-0.0529553d,+0+0d,+20.2288-0.730133j,-21.8631+0.79791j,+1.63424-0.0677771j
2019-12-01 00:30:00 PST,+5054.24,+5057.4+2.02636d,+120.07-0.0437671d,+120.069-0.0444295d,+0+0d,+20.2294-0.727102j,-21.8637+0.794659j,+1.6343-0.0675572j
2019-12-01 00:35:00 PST,+549.082,+577.472+18.0406d,+120.083-0.00509694d,+120.083-0.0057591d,+0+0d,+1.46892-0.711591j,-3.10347+0.778134j,+1.63455-0.0665432j
2019-12-01 00:40:00 PST,+549.07,+577.459+18.0406d,+120.08-0.013624d,+120.079-0.0142864d,+0+0d,+1.46886-0.711831j,-3.10334+0.778594j,+1.63449-0.0667632j
2019-12-01 00:45:00 PST,+549.07,+577.459+18.0406d,+120.08-0.013624d,+120.079-0.0142864d,+0+0d,+1.46886-0.711831j,-3.10334+0.778594j,+1.63449-0.0667632j
2019-12-01 00:50:00 PST,+549.082,+577.472+18.0406d,+120.083-0.00509825d,+120.083-0.00576068d,+0+0d,+1.46892-0.711591j,-3.10347+0.778134j,+1.63455-0.0665433j
2019-12-01 00:55:00 PST,+5054.24,+5057.4+2.02636d,+120.07-0.0437771d,+120.069-0.0444398d,+0+0d,+20.2294-0.727105j,-21.8637+0.794663j,+1.63431-0.0675579j
2019-12-01 01:00:00 PST,+4975.87,+4978.23+1.76442d,+120.07-0.0430386d,+120.07-0.0436064d,+0+0d,+20.0198-0.625019j,-21.4206+0.682908j,+1.40084-0.0578886j
# end of tape
