# file...... house_meter.csv
# date...... Wed Jun 16 18:36:28 2021
# user...... midrar
# host...... (null)
# target.... triplex_meter 14
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_real_power,measured_voltage_1,measured_current_1
2020-01-01 00:00:00 UTC,+5449.74,+119.983+119.934d,-11.3326+19.6809j
2020-01-01 00:10:00 UTC,+952.85,+120.029+119.988d,-1.98393+3.43787j
2020-01-01 00:20:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 00:30:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 00:40:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 00:50:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 01:00:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 01:10:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 01:20:00 UTC,+954.121,+120.029+119.988d,-1.98658+3.44245j
2020-01-01 01:30:00 UTC,+954.827,+120.029+119.988d,-1.98805+3.445j
2020-01-01 01:40:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 01:50:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 02:00:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 02:10:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 02:20:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 02:30:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 02:40:00 UTC,+5454.15,+119.983+119.934d,-11.3417+19.6968j
2020-01-01 02:50:00 UTC,+956.634,+120.029+119.988d,-1.99181+3.45152j
2020-01-01 03:00:00 UTC,+957.074,+120.029+119.988d,-1.99272+3.45311j
2020-01-01 03:10:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 03:20:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 03:30:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 03:40:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 03:50:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 04:00:00 UTC,+5456.08,+119.983+119.934d,-11.3457+19.7038j
2020-01-01 04:10:00 UTC,+958.537,+120.029+119.988d,-1.99577+3.45839j
2020-01-01 04:20:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 04:30:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 04:40:00 UTC,+959.244,+120.029+119.988d,-1.99724+3.46094j
2020-01-01 04:50:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 05:00:00 UTC,+959.836,+120.029+119.988d,-1.99847+3.46308j
2020-01-01 05:10:00 UTC,+960.26,+120.029+119.988d,-1.99935+3.46461j
2020-01-01 05:20:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 05:30:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 05:40:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 05:50:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 06:00:00 UTC,+5459.02,+119.983+119.934d,-11.3518+19.7144j
2020-01-01 06:10:00 UTC,+5459.42,+119.983+119.934d,-11.3527+19.7159j
2020-01-01 06:20:00 UTC,+961.786,+120.029+119.988d,-2.00253+3.47011j
2020-01-01 06:30:00 UTC,+962.132,+120.029+119.988d,-2.00325+3.47136j
2020-01-01 06:40:00 UTC,+962.472,+120.029+119.988d,-2.00396+3.47259j
2020-01-01 06:50:00 UTC,+962.806,+120.029+119.988d,-2.00465+3.4738j
2020-01-01 07:00:00 UTC,+963.135,+120.029+119.988d,-2.00534+3.47498j
2020-01-01 07:10:00 UTC,+963.458,+120.029+119.988d,-2.00601+3.47615j
2020-01-01 07:20:00 UTC,+963.775,+120.029+119.988d,-2.00667+3.47729j
2020-01-01 07:30:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 07:40:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 07:50:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 08:00:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 08:10:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 08:20:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 08:30:00 UTC,+963.892,+120.029+119.988d,-2.00691+3.47771j
2020-01-01 08:40:00 UTC,+964.314,+120.029+119.988d,-2.00779+3.47924j
2020-01-01 08:50:00 UTC,+964.635,+120.029+119.988d,-2.00846+3.48039j
2020-01-01 09:00:00 UTC,+964.936,+120.029+119.988d,-2.00909+3.48148j
2020-01-01 09:10:00 UTC,+965.23,+120.029+119.988d,-2.0097+3.48254j
2020-01-01 09:20:00 UTC,+965.519,+120.029+119.988d,-2.0103+3.48358j
2020-01-01 09:30:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 09:40:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 09:50:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 10:00:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 10:10:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 10:20:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 10:30:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 10:40:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 10:50:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 11:00:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 11:10:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 11:20:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 11:30:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 11:40:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 11:50:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 12:00:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 12:10:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 12:20:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 12:30:00 UTC,+965.183,+120.029+119.988d,-2.0096+3.48237j
2020-01-01 12:40:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 12:50:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 13:00:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 13:10:00 UTC,+965.354,+120.029+119.988d,-2.00996+3.48299j
2020-01-01 13:20:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 13:30:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 13:40:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 13:50:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 14:00:00 UTC,+5463.83,+119.983+119.934d,-11.3618+19.7318j
2020-01-01 14:10:00 UTC,+966.166,+120.029+119.988d,-2.01165+3.48592j
2020-01-01 14:20:00 UTC,+966.446,+120.029+119.988d,-2.01223+3.48693j
2020-01-01 14:30:00 UTC,+966.716,+120.029+119.988d,-2.01279+3.48791j
2020-01-01 14:40:00 UTC,+5464.97,+119.983+119.934d,-11.3642+19.7359j
2020-01-01 14:50:00 UTC,+967.24,+120.029+119.988d,-2.01388+3.4898j
2020-01-01 15:00:00 UTC,+967.494,+120.029+119.988d,-2.01441+3.49071j
2020-01-01 15:10:00 UTC,+967.745,+120.029+119.988d,-2.01494+3.49162j
2020-01-01 15:20:00 UTC,+967.99,+120.029+119.988d,-2.01545+3.4925j
2020-01-01 15:30:00 UTC,+968.231,+120.029+119.988d,-2.01595+3.49337j
2020-01-01 15:40:00 UTC,+968.469,+120.029+119.988d,-2.01644+3.49423j
2020-01-01 15:50:00 UTC,+968.702,+120.029+119.988d,-2.01693+3.49507j
2020-01-01 16:00:00 UTC,+968.932,+120.029+119.988d,-2.01741+3.4959j
2020-01-01 16:10:00 UTC,+969.159,+120.029+119.988d,-2.01788+3.49672j
2020-01-01 16:20:00 UTC,+969.382,+120.029+119.988d,-2.01834+3.49753j
2020-01-01 16:30:00 UTC,+965.845,+120.029+119.988d,-2.01098+3.48476j
2020-01-01 16:40:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 16:50:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 17:00:00 UTC,+968.079,+120.029+119.988d,-2.01563+3.49282j
2020-01-01 17:10:00 UTC,+968.368,+120.029+119.988d,-2.01623+3.49387j
2020-01-01 17:20:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 17:30:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 17:40:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 17:50:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 18:00:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 18:10:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 18:20:00 UTC,+968.152,+120.029+119.988d,-2.01578+3.49309j
2020-01-01 18:30:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 18:40:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 18:50:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 19:00:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 19:10:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 19:20:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 19:30:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 19:40:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 19:50:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 20:00:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 20:10:00 UTC,+967.575,+120.029+119.988d,-2.01458+3.49101j
2020-01-01 20:20:00 UTC,+967.959,+120.029+119.988d,-2.01538+3.49239j
2020-01-01 20:30:00 UTC,+968.223,+120.029+119.988d,-2.01593+3.49334j
2020-01-01 20:40:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 20:50:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 21:00:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 21:10:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 21:20:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 21:30:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 21:40:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 21:50:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 22:00:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 22:10:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 22:20:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 22:30:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 22:40:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 22:50:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 23:00:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 23:10:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 23:20:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 23:30:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 23:40:00 UTC,+0,+120.039+120d,+0+0j
2020-01-01 23:50:00 UTC,+0,+120.039+120d,+0+0j
