# file...... wh_E_1.csv
# date...... Wed Jun 16 18:36:28 2021
# user...... midrar
# host...... (null)
# target.... waterheater 17
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,nominal_voltage,actual_load,lower_tank_temperature,upper_tank_temperature,water_demand,is_waterheater_on
2020-01-01 00:00:00 UTC,+240,+4.49874,+119.715,+119.715,+0,+1
2020-01-01 00:05:00 UTC,+240,+4.49874,+119.665,+119.898,+0,+1
2020-01-01 00:10:00 UTC,+240,+0,+119.616,+119.961,+0,+0
2020-01-01 00:15:00 UTC,+240,+0,+119.567,+119.914,+0,+0
2020-01-01 00:20:00 UTC,+240,+0,+119.518,+119.868,+0,+0
2020-01-01 00:25:00 UTC,+240,+0,+119.469,+119.821,+0,+0
2020-01-01 00:30:00 UTC,+240,+0,+119.42,+119.775,+0,+0
2020-01-01 00:35:00 UTC,+240,+0,+119.371,+119.729,+0,+0
2020-01-01 00:40:00 UTC,+240,+0,+119.322,+119.683,+0,+0
2020-01-01 00:45:00 UTC,+240,+0,+119.274,+119.637,+0,+0
2020-01-01 00:50:00 UTC,+240,+0,+119.226,+119.592,+0,+0
2020-01-01 00:55:00 UTC,+240,+0,+119.177,+119.546,+0,+0
2020-01-01 01:00:00 UTC,+240,+0,+119.129,+119.501,+0,+0
2020-01-01 01:05:00 UTC,+240,+0,+119.081,+119.455,+0,+0
2020-01-01 01:10:00 UTC,+240,+0,+119.033,+119.41,+0,+0
2020-01-01 01:15:00 UTC,+240,+0,+118.986,+119.365,+0,+0
2020-01-01 01:20:00 UTC,+240,+0,+118.938,+119.32,+0,+0
2020-01-01 01:25:00 UTC,+240,+0,+118.891,+119.276,+0,+0
2020-01-01 01:30:00 UTC,+240,+0,+118.843,+119.231,+0,+0
2020-01-01 01:35:00 UTC,+240,+0,+118.796,+119.187,+0,+0
2020-01-01 01:40:00 UTC,+240,+0,+118.749,+119.142,+0,+0
2020-01-01 01:45:00 UTC,+240,+0,+118.702,+119.098,+0,+0
2020-01-01 01:50:00 UTC,+240,+0,+118.655,+119.054,+0,+0
2020-01-01 01:55:00 UTC,+240,+0,+118.608,+119.01,+0,+0
2020-01-01 02:00:00 UTC,+240,+0,+118.562,+118.966,+0,+0
2020-01-01 02:05:00 UTC,+240,+0,+118.515,+118.922,+0,+0
2020-01-01 02:10:00 UTC,+240,+0,+118.469,+118.879,+0,+0
2020-01-01 02:15:00 UTC,+240,+0,+118.422,+118.835,+0,+0
2020-01-01 02:20:00 UTC,+240,+0,+118.376,+118.792,+0,+0
2020-01-01 02:25:00 UTC,+240,+0,+118.33,+118.749,+0,+0
2020-01-01 02:30:00 UTC,+240,+0,+118.284,+118.706,+0.371506,+0
2020-01-01 02:35:00 UTC,+240,+4.49873,+119.403,+118.836,+0.39,+1
2020-01-01 02:40:00 UTC,+240,+4.49873,+117.564,+119.155,+0,+1
2020-01-01 02:45:00 UTC,+240,+0,+120.025,+119.113,+0,+0
2020-01-01 02:50:00 UTC,+240,+0,+120.012,+119.072,+1.34061e-34,+0
2020-01-01 02:55:00 UTC,+240,+0,+119.892,+119.034,+0.01,+0
2020-01-01 03:00:00 UTC,+240,+0,+119.879,+118.993,+0,+0
