# file...... wh_hp_1.csv
# date...... Wed Jun 16 18:36:28 2021
# user...... midrar
# host...... (null)
# target.... waterheater 20
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,nominal_voltage,actual_load,lower_tank_temperature,upper_tank_temperature,water_demand,is_waterheater_on
2020-01-01 00:00:00 UTC,+240,+0.951,+118.818,+118.818,+0,+1
2020-01-01 00:05:00 UTC,+240,+0.951696,+118.765,+118.844,+0,+1
2020-01-01 00:10:00 UTC,+240,+0.95285,+118.712,+119.244,+0,+1
2020-01-01 00:15:00 UTC,+240,+0.953167,+118.659,+119.86,+0,+1
2020-01-01 00:20:00 UTC,+240,+0,+118.607,+120.105,+0,+0
2020-01-01 00:25:00 UTC,+240,+0,+118.556,+120.053,+0,+0
2020-01-01 00:30:00 UTC,+240,+0,+118.504,+120,+0,+0
2020-01-01 00:35:00 UTC,+240,+0,+118.452,+119.948,+0,+0
2020-01-01 00:40:00 UTC,+240,+0,+118.401,+119.897,+0,+0
2020-01-01 00:45:00 UTC,+240,+0,+118.35,+119.845,+0,+0
2020-01-01 00:50:00 UTC,+240,+0,+118.299,+119.793,+0,+0
2020-01-01 00:55:00 UTC,+240,+0,+118.248,+119.742,+0,+0
2020-01-01 01:00:00 UTC,+240,+0,+118.197,+119.691,+0,+0
2020-01-01 01:05:00 UTC,+240,+0,+118.146,+119.64,+0,+0
2020-01-01 01:10:00 UTC,+240,+0,+118.096,+119.589,+0,+0
2020-01-01 01:15:00 UTC,+240,+0,+118.045,+119.538,+0,+0
2020-01-01 01:20:00 UTC,+240,+0.954121,+117.995,+119.487,+0,+1
2020-01-01 01:25:00 UTC,+240,+0.954526,+118.984,+119.437,+0,+1
2020-01-01 01:30:00 UTC,+240,+0.954827,+119.964,+119.386,+0,+1
2020-01-01 01:35:00 UTC,+240,+0,+120.103,+119.336,+0,+0
2020-01-01 01:40:00 UTC,+240,+0,+120.052,+119.287,+0,+0
2020-01-01 01:45:00 UTC,+240,+0,+120,+119.237,+0,+0
2020-01-01 01:50:00 UTC,+240,+0,+119.949,+119.188,+0,+0
2020-01-01 01:55:00 UTC,+240,+0,+119.897,+119.139,+0,+0
2020-01-01 02:00:00 UTC,+240,+0,+119.846,+119.089,+0,+0
2020-01-01 02:05:00 UTC,+240,+0,+119.795,+119.04,+0,+0
2020-01-01 02:10:00 UTC,+240,+0,+119.744,+118.991,+0,+0
2020-01-01 02:15:00 UTC,+240,+0,+119.694,+118.943,+0,+0
2020-01-01 02:20:00 UTC,+240,+0,+119.643,+118.894,+0,+0
2020-01-01 02:25:00 UTC,+240,+0,+119.593,+118.845,+0,+0
2020-01-01 02:30:00 UTC,+240,+0,+119.542,+118.797,+0.331651,+0
2020-01-01 02:35:00 UTC,+240,+0.955115,+111.723,+119.024,+0.39,+1
2020-01-01 02:40:00 UTC,+240,+0.955418,+112.43,+119.099,+0,+1
2020-01-01 02:45:00 UTC,+240,+0.956403,+115.798,+119.051,+0,+1
2020-01-01 02:50:00 UTC,+240,+0.956634,+117.461,+119.003,+0.000997979,+1
2020-01-01 02:55:00 UTC,+240,+0.956857,+118.428,+118.961,+0.01,+1
2020-01-01 03:00:00 UTC,+240,+0.957074,+119.378,+118.916,+0,+1
2020-01-01 03:05:00 UTC,+240,+0,+120.115,+118.869,+0,+0
2020-01-01 03:10:00 UTC,+240,+0,+120.064,+118.821,+0,+0
2020-01-01 03:15:00 UTC,+240,+0,+120.013,+118.774,+0,+0
2020-01-01 03:20:00 UTC,+240,+0,+119.963,+118.727,+0,+0
2020-01-01 03:25:00 UTC,+240,+0,+119.912,+118.68,+0,+0
2020-01-01 03:30:00 UTC,+240,+0,+119.862,+118.633,+0,+0
2020-01-01 03:35:00 UTC,+240,+0,+119.812,+118.586,+0,+0
2020-01-01 03:40:00 UTC,+240,+0,+119.761,+118.539,+0,+0
2020-01-01 03:45:00 UTC,+240,+0,+119.711,+118.493,+0,+0
2020-01-01 03:50:00 UTC,+240,+0,+119.661,+118.446,+0.273756,+0
2020-01-01 03:55:00 UTC,+240,+0.957065,+113.165,+118.682,+0.32,+1
2020-01-01 04:00:00 UTC,+240,+0.957352,+113.803,+118.76,+0,+1
2020-01-01 04:05:00 UTC,+240,+0.958322,+116.826,+118.713,+0,+1
2020-01-01 04:10:00 UTC,+240,+0.958537,+118.364,+118.667,+0,+1
2020-01-01 04:15:00 UTC,+240,+0.958744,+119.476,+118.62,+0,+1
2020-01-01 04:20:00 UTC,+240,+0,+120.027,+118.574,+0,+0
2020-01-01 04:25:00 UTC,+240,+0,+119.976,+118.528,+0,+0
2020-01-01 04:30:00 UTC,+240,+0,+119.926,+118.482,+0.0949956,+0
2020-01-01 04:35:00 UTC,+240,+0.958957,+117.108,+118.559,+0.13,+1
2020-01-01 04:40:00 UTC,+240,+0.959244,+117.79,+118.575,+0,+1
2020-01-01 04:45:00 UTC,+240,+0.959475,+119.712,+118.529,+0,+1
2020-01-01 04:50:00 UTC,+240,+0,+120.185,+118.484,+0.0562146,+0
2020-01-01 04:55:00 UTC,+240,+0.959563,+118.057,+118.522,+0.09,+1
2020-01-01 05:00:00 UTC,+240,+0.959836,+118.877,+118.528,+0.00687722,+1
2020-01-01 05:05:00 UTC,+240,+0.960058,+115.926,+118.655,+0.23,+1
2020-01-01 05:10:00 UTC,+240,+0.96026,+116.906,+118.683,+0,+1
2020-01-01 05:15:00 UTC,+240,+0.960452,+119.26,+118.637,+0,+1
2020-01-01 05:20:00 UTC,+240,+0,+120.085,+118.591,+0,+0
2020-01-01 05:25:00 UTC,+240,+0,+120.036,+118.545,+0,+0
2020-01-01 05:30:00 UTC,+240,+0,+119.987,+118.5,+0,+0
2020-01-01 05:35:00 UTC,+240,+0,+119.938,+118.454,+0,+0
2020-01-01 05:40:00 UTC,+240,+0,+119.889,+118.409,+0,+0
2020-01-01 05:45:00 UTC,+240,+0,+119.841,+118.363,+0,+0
2020-01-01 05:50:00 UTC,+240,+0,+119.792,+118.318,+0.411535,+0
2020-01-01 05:55:00 UTC,+240,+0.960028,+110.027,+118.671,+0.48,+1
2020-01-01 06:00:00 UTC,+240,+0.96029,+110.642,+118.781,+1.42234e-07,+1
2020-01-01 06:05:00 UTC,+240,+0.960501,+100.074,+119.166,+0.88,+1
2020-01-01 06:10:00 UTC,+240,+0.960692,+101.446,+119.252,+0,+1
2020-01-01 06:15:00 UTC,+240,+0.961609,+106.469,+119.204,+0,+1
2020-01-01 06:20:00 UTC,+240,+0.961786,+108.769,+119.156,+0,+1
2020-01-01 06:25:00 UTC,+240,+0.96196,+110.217,+119.108,+0,+1
2020-01-01 06:30:00 UTC,+240,+0.962132,+111.297,+119.06,+0,+1
2020-01-01 06:35:00 UTC,+240,+0.962303,+112.218,+119.012,+0,+1
