# file...... ev1.csv
# date...... Tue May  4 03:41:52 2021
# user...... midrar
# host...... (null)
# target.... evcharger 24
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,charge,capacity
2020-01-01 00:00:00 UTC,+0.919891,+50
2020-01-01 01:00:00 UTC,+0.948693,+50
2020-01-01 02:00:00 UTC,+0.977495,+50
2020-01-01 03:00:00 UTC,+1,+50
2020-01-01 04:00:00 UTC,+1,+50
2020-01-01 05:00:00 UTC,+1,+50
2020-01-01 06:00:00 UTC,+1,+50
2020-01-01 07:00:00 UTC,+1,+50
2020-01-01 08:00:00 UTC,+1,+50
2020-01-01 09:00:00 UTC,+1,+50
2020-01-01 10:00:00 UTC,+1,+50
2020-01-01 11:00:00 UTC,+1,+50
2020-01-01 12:00:00 UTC,+1,+50
2020-01-01 13:00:00 UTC,+1,+50
2020-01-01 14:00:00 UTC,+1,+50
2020-01-01 15:00:00 UTC,+1,+50
2020-01-01 16:00:00 UTC,+1,+50
2020-01-01 17:00:00 UTC,+1,+50
2020-01-01 18:00:00 UTC,+1,+50
2020-01-01 19:00:00 UTC,+1,+50
2020-01-01 20:00:00 UTC,+1,+50
2020-01-01 21:00:00 UTC,+1,+50
2020-01-01 22:00:00 UTC,+1,+50
2020-01-01 23:00:00 UTC,+1,+50
2020-01-02 00:00:00 UTC,+1,+50
