# $Id$
# electric/hybrid vehicle demand profile
#
# Allowed daytypes are [WEEKDAY] and [WEEKEND]
[WEEKDAY]

# Header format is "DIRTRIP" where DIR is either ARR or DEP
# and TRIP is one of HOME, WORK, SHRT, LONG
# Both ARR and DEP must be included for any TRIP
ARRHOME,DEPHOME,ARRWORK,DEPWORK

# There must be one row per hour 0-24 in each daytype
# and there must be as many DIRTRIP entries per hour 
# as there are DIRTRIP header items
0.004,0.0,0.0,0.005
0.004,0.0,0.0,0.00
0.003,0.0,0.0,0.004
0.0,0.024,0.011,0.001
0.001,0.089,0.048,0.5
0.002,0.202,0.139,0.0
0.008,0.325,0.261,0.001
0.014,0.171,0.246,0.001
0.022,0.063,0.089,0.002
0.027,0.031,0.04,0.003
0.062,0.019,0.025,0.007
0.1,0.014,0.025,0.012
0.052,0.013,0.026,0.015
0.073,0.013,0.025,0.027
0.141,0.009,0.02,0.068
0.164,0.009,0.019,0.133
0.151,0.006,0.015,0.196
0.061,0.005,0.007,0.01
0.03,0.003,0.003,0.01
0.021,0.001,0.001,0.001
0.02,0.001,0.001,0.001
0.022,0.001,0.0,0.001
0.018,0.0,0.0,0.001
0.0,0.0,0.0,0.001
